Team,Player1,Player2,P1 Rating,P2 Rating,Team Rating
BackPaqued,Paq Clifford,Kieran Rose,129.26,136.52,132.89
Bangla Tigers,Rahat Ullah,Tahseen Robbani,100,100,100
Beeks/Porter,Scott Beeks,Adam Porter,100,119.08,109.54
Blackmail,AJ Martin,Connor Prelich,100,114.08,107.04
BorderLine,Kaleb Wagner,Trey Thompson,128.12,131.8,129.96
Bot House,Owen Lippman,West Peterson,144.69,145.16,144.925
Degenerates,Jack Coolbaugh,Thomas Hoffman,128.45,114.33,121.39
Dethrone,Ryan Fernandez,Patricio Duran,109.55,111.02,110.285
Dinomite,Auriel Wish,Charlie Camerena,124.85,117.8,121.325
Finocchi/Picone,Will,Gabe,153.19,159.04,156.115
Fresh Cuts,Mike Hamilton,Ethan Westfall,92.7,96.27,94.485
Gross/Shaytar,Justin Shaytar,Ryan Gross,139.64,151.91,145.775
J Chillin,Christian Hill,Jared Beafait,113.85,125.82,119.835
Lazy,Cade Larson,Luke Marshall,130.02,127.37,128.695
Le Pirate,Maxwell Gunneson,Matt Spolarich,115.86,124.92,120.39
Lowkey,Taylor Church,Dawson Morgan,142.74,137.62,140.18
Mike and Sully,Liam Werner,Gavin Sullivan,70.06,103.06,86.56
Not TBD,Josh Frag,Caleb Cummings,133.04,136.61,134.825
Outrageous,Chase Meyer,Ben Savage,125.01,118.73,121.87
Party Crashers,Brady Myles,Cal Jennings,100,100,100
Pickle Juice,Sam Mccune,Josh Hutko,101.87,113.94,107.905
Poiuytres,Nilo Buan,Jack Duffy,100,100,100
Risky Business,Justin Kehoe,Kyle Fowler,106.65,113,109.825
Rouge,Thomas Hamilton,Ryan Marino,160.57,159.03,159.8
Ryder/Roundnet,Wyatt Semke,Drew Ryder,104.33,99.08,101.705
Seatbelts,Zachery Geist,Colin Harrington,100,100,100
Slither,Brendon Ferreria,Christian Bennett,137.66,140.52,139.09
Stupid Time Sensitive Discounts,Daniel Haungs,Ethan Groover,100,103.84,101.92
TBD,Blake VanDenTop,Jon LeFrois,100,92.48,96.24
TRP Blank Check,Fredric Hinkle,Max Model,147.88,137.43,142.655
TRP Fleet Footwork,Ethan Mc Whirter,Matt Burrows,119.66,128.27,123.965
El Nino,Justin Wright,Lucas Aguiar,100,100,100
